192.168.80.101 - - [15/Jan/2016:20:54:55 -0500] "GET /host-client/rsl/vim-ui-lib-6.0.0.swf HTTP/1.1" 200 24937
192.168.80.101 - - [15/Jan/2016:20:54:55 -0500] "GET /host-client/rsl/proxy-lib-6.0.0.swf HTTP/1.1" 200 40833
192.168.80.101 - - [15/Jan/2016:20:54:55 -0500] "GET /host-client/rsl/app-lib-6.0.0.swf HTTP/1.1" 200 41222
192.168.80.101 - - [15/Jan/2016:20:54:56 -0500] "GET /host-client/rsl/ui-lib-6.0.0.swf HTTP/1.1" 200 578912
192.168.80.101 - - [15/Jan/2016:20:54:57 -0500] "GET /host-client/rsl/navigator-6.0.0.swf HTTP/1.1" 200 152896
192.168.80.101 - - [15/Jan/2016:20:54:57 -0500] "GET /host-client/locales/UI-en_US.swf HTTP/1.1" 200 647055
192.168.80.101 - - [15/Jan/2016:20:54:58 -0500] "GET /host-client/config/log.xml HTTP/1.1" 200 2201
192.168.80.101 - - [15/Jan/2016:20:54:58 -0500] "GET /host-client/config/resources.xml HTTP/1.1" 200 1367
192.168.80.101 - - [15/Jan/2016:20:54:58 -0500] "GET /host-client/assets/marge-theme.swf HTTP/1.1" 200 233518
192.168.80.101 - - [15/Jan/2016:20:54:58 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 173
192.168.80.101 - - [15/Jan/2016:20:54:59 -0500] "POST /host-client/messagebroker/amf HTTP/1.1" 200 173
192.168.80.101 - - [15/Jan/2016:20:54:59 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 104
192.168.80.101 - - [15/Jan/2016:20:54:59 -0500] "POST /host-client/messagebroker/amf HTTP/1.1" 200 99
192.168.80.101 - - [15/Jan/2016:20:54:59 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 135
192.168.80.101 - - [15/Jan/2016:20:55:26 -0500] "POST /host-client/j_spring_security_check HTTP/1.1" 200 76
192.168.80.101 - - [15/Jan/2016:20:55:30 -0500] "POST /host-client/j_spring_security_check HTTP/1.1" 200 17
192.168.80.101 - - [15/Jan/2016:20:55:30 -0500] "POST /host-client/messagebroker/amf HTTP/1.1" 200 3303
192.168.80.101 - - [15/Jan/2016:20:55:31 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 173
192.168.80.101 - - [15/Jan/2016:20:55:31 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 173
192.168.80.101 - - [15/Jan/2016:20:55:31 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 208
192.168.80.101 - - [15/Jan/2016:20:55:31 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 4485
192.168.80.101 - - [15/Jan/2016:20:55:31 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 105
192.168.80.101 - - [15/Jan/2016:20:55:31 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 297
192.168.80.101 - - [15/Jan/2016:20:55:31 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 3406
192.168.80.101 - - [15/Jan/2016:20:55:31 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 1021
192.168.80.101 - - [15/Jan/2016:20:55:31 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 22284
192.168.80.101 - - [15/Jan/2016:20:55:32 -0500] "GET /host-client/license-ui/locales/license-ui-en_US.swf HTTP/1.1" 200 299320
192.168.80.101 - - [15/Jan/2016:20:55:32 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 568536
192.168.80.101 - - [15/Jan/2016:20:55:32 -0500] "GET /host-client/inventory-viewer/locales/inventory-viewer-en_US.swf HTTP/1.1" 200 87632
192.168.80.101 - - [15/Jan/2016:20:55:32 -0500] "GET /host-client/ovf-ui/locales/ovf-ui-en_US.swf HTTP/1.1" 200 79567
192.168.80.101 - - [15/Jan/2016:20:55:32 -0500] "GET /host-client/bootstrap-ui/locales/bootstrap-ui-en_US.swf HTTP/1.1" 200 107038
192.168.80.101 - - [15/Jan/2016:20:55:33 -0500] "GET /host-client/cm-ui/locales/cm-ui-en_US.swf HTTP/1.1" 200 105565
192.168.80.101 - - [15/Jan/2016:20:55:33 -0500] "GET /host-client/license-ui/LicenseModule.swf HTTP/1.1" 200 863971
192.168.80.101 - - [15/Jan/2016:20:55:33 -0500] "GET /host-client/network-ui/locales/network-ui-en_US.swf HTTP/1.1" 200 522293
192.168.80.101 - - [15/Jan/2016:20:55:33 -0500] "GET /host-client/storage-ui/locales/storage-ui-en_US.swf HTTP/1.1" 200 181834
192.168.80.101 - - [15/Jan/2016:20:55:33 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 1128
192.168.80.101 - - [15/Jan/2016:20:55:33 -0500] "GET /host-client/host-ui/locales/host-ui-en_US.swf HTTP/1.1" 200 213643
192.168.80.101 - - [15/Jan/2016:20:55:34 -0500] "GET /host-client/vm-ui/locales/vm-ui-en_US.swf HTTP/1.1" 200 448582
192.168.80.101 - - [15/Jan/2016:20:55:34 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 17411
192.168.80.101 - - [15/Jan/2016:20:55:34 -0500] "GET /host-client/folder-ui/locales/folder-ui-en_US.swf HTTP/1.1" 200 421078
192.168.80.101 - - [15/Jan/2016:20:55:34 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 173
192.168.80.101 - - [15/Jan/2016:20:55:34 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 99
192.168.80.101 - - [15/Jan/2016:20:55:34 -0500] "GET /host-client/bootstrap-ui/BootstrapUiSharedModule.swf HTTP/1.1" 200 1273161
192.168.80.101 - - [15/Jan/2016:20:55:34 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 161
192.168.80.101 - - [15/Jan/2016:20:55:36 -0500] "GET /host-client/bootstrap-ui/BootstrapModule.swf HTTP/1.1" 200 68562
192.168.80.101 - - [15/Jan/2016:20:55:37 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 397
192.168.80.101 - - [15/Jan/2016:20:55:37 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 173
192.168.80.101 - - [15/Jan/2016:20:55:37 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 505
192.168.80.101 - - [15/Jan/2016:20:55:37 -0500] "GET /host-client/tasks-ui/locales/tasks-ui-en_US.swf HTTP/1.1" 200 62530
192.168.80.101 - - [15/Jan/2016:20:55:37 -0500] "GET /host-client/event-ui/locales/event-ui-en_US.swf HTTP/1.1" 200 71961
192.168.80.101 - - [15/Jan/2016:20:55:37 -0500] "GET /host-client/tiwo-ui/locales/tiwo-ui-en_US.swf HTTP/1.1" 200 61237
192.168.80.101 - - [15/Jan/2016:20:55:37 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 5081
192.168.80.101 - - [15/Jan/2016:20:55:37 -0500] "GET /host-client/inventory-viewer/InventoryModule.swf HTTP/1.1" 200 127817
192.168.80.101 - - [15/Jan/2016:20:55:38 -0500] "GET /host-client/tiwo-ui/TiwoModule.swf HTTP/1.1" 200 115358
192.168.80.101 - - [15/Jan/2016:20:55:38 -0500] "POST /host-client/endpoints/messagebroker/amf HTTP/1.1" 200 4944
